token,reference_count,definition_count,layer,notes
--cal-day-padding,1,2,legacy,generated-2026-03-20
--chrome-height,1,1,legacy,generated-2026-03-20
--color-fore,1,0,semantic,generated-2026-03-20
--color-primary-active,1,3,semantic,generated-2026-03-20
--danger-back,1,0,legacy,generated-2026-03-20
--danger-bg,1,1,legacy,generated-2026-03-20
--danger-border,1,0,legacy,generated-2026-03-20
--danger-fore,1,0,legacy,generated-2026-03-20
--danger-hover-border,1,0,legacy,generated-2026-03-20
--danger-hover,1,0,legacy,generated-2026-03-20
--danger,1,1,legacy,generated-2026-03-20
--elevation-2-bg,1,3,semantic,generated-2026-03-20
--error,1,0,legacy,generated-2026-03-20
--focus-color,1,0,legacy,generated-2026-03-20
--footer-back,1,60,legacy,generated-2026-03-20
--fore-muted,1,0,legacy,generated-2026-03-20
--foundation-border-100,1,1,legacy,generated-2026-03-20
--foundation-overlay-100,1,1,legacy,generated-2026-03-20
--foundation-paper-300,1,1,legacy,generated-2026-03-20
--foundation-text-100,1,1,legacy,generated-2026-03-20
--foundation-text-200,1,1,legacy,generated-2026-03-20
--gap-xs,1,1,legacy,generated-2026-03-20
--line-strong,1,1,legacy,generated-2026-03-20
--link-color,1,0,legacy,generated-2026-03-20
--long-transition,1,1,legacy,generated-2026-03-20
--modal-head-back,1,1,legacy,generated-2026-03-20
--nav-margin-transition,1,1,legacy,generated-2026-03-20
--nav-transition,1,1,legacy,generated-2026-03-20
--panel-footer-back,1,22,component,generated-2026-03-20
--serif,1,1,legacy,generated-2026-03-20
--settings-selected-radius,1,1,legacy,generated-2026-03-20
--success-bg,1,1,legacy,generated-2026-03-20
--success,1,1,legacy,generated-2026-03-20
--surface,1,1,legacy,generated-2026-03-20
--svg-icon-height,1,1,legacy,generated-2026-03-20
--svg-icon-width,1,1,legacy,generated-2026-03-20
--system-tray-back,1,13,legacy,generated-2026-03-20
--text-2,1,1,legacy,generated-2026-03-20
--text,1,5,legacy,generated-2026-03-20
--uv-bg-0,1,1,legacy,generated-2026-03-20
--uv-bg-1,1,1,legacy,generated-2026-03-20
--uv-bg-2,1,1,legacy,generated-2026-03-20
--uv-line-strong,1,1,legacy,generated-2026-03-20
--uv-surface-3,1,1,legacy,generated-2026-03-20
--work-back,1,60,legacy,generated-2026-03-20
--work-fore,1,58,legacy,generated-2026-03-20
--arcade-date-label,0,1,legacy,generated-2026-03-20
--btn-back-hover-box-shadow,0,4,legacy,generated-2026-03-20
--btn-back-hover-linear-gradient,0,32,legacy,generated-2026-03-20
--btn-back-linear-gradient,0,32,legacy,generated-2026-03-20
--cal-day-date-label,0,1,legacy,generated-2026-03-20
--cal-day-radius,0,58,legacy,generated-2026-03-20
--cal-day-shadow,0,58,legacy,generated-2026-03-20
--calendar-bg,0,3,component,generated-2026-03-20
--calendar-day-selected,0,3,component,generated-2026-03-20
--calendar-day-today,0,3,component,generated-2026-03-20
--calendar-event-bg,0,3,component,generated-2026-03-20
--calendar-event-text,0,3,component,generated-2026-03-20
--calendar-range-bg,0,3,component,generated-2026-03-20
--color-active,0,3,semantic,generated-2026-03-20
--color-bg-elevated,0,3,semantic,generated-2026-03-20
--color-bg-overlay,0,3,semantic,generated-2026-03-20
--color-bg-soft,0,3,semantic,generated-2026-03-20
--color-border-strong,0,3,semantic,generated-2026-03-20
--color-disabled-bg,0,3,semantic,generated-2026-03-20
--color-focus-ring,0,3,semantic,generated-2026-03-20
--color-highlight,0,3,semantic,generated-2026-03-20
--color-hover,0,3,semantic,generated-2026-03-20
--color-info,0,3,semantic,generated-2026-03-20
--color-on-danger,0,1,semantic,generated-2026-03-20
--color-on-info,0,1,semantic,generated-2026-03-20
--color-on-success,0,1,semantic,generated-2026-03-20
--color-on-warning,0,1,semantic,generated-2026-03-20
--color-selection,0,3,semantic,generated-2026-03-20
--color-success,0,3,semantic,generated-2026-03-20
--color-surface-muted,0,3,semantic,generated-2026-03-20
--color-text-disabled,0,3,semantic,generated-2026-03-20
--color-text-inverse,0,3,semantic,generated-2026-03-20
--color-warning,0,3,semantic,generated-2026-03-20
--dialog-border,0,3,component,generated-2026-03-20
--dialog-margin,0,1,component,generated-2026-03-20
--dialog-overlay,0,3,component,generated-2026-03-20
--dialog-padding,0,1,component,generated-2026-03-20
--dialog-shadow,0,58,component,generated-2026-03-20
--dialog-spread,0,1,component,generated-2026-03-20
--elevation-1-bg,0,3,semantic,generated-2026-03-20
--elevation-3-bg,0,3,semantic,generated-2026-03-20
--medium-transition,0,1,legacy,generated-2026-03-20
